factor,atr_period,order_size,dema_length,0_cumulative_return,0_max_drawdown,0_sharpe_ratio,0_annual volatility,0_annualized_return,0_calmar,0_number_of_transactions,1_cumulative_return,1_max_drawdown,1_sharpe_ratio,1_annual volatility,1_annualized_return,1_calmar,1_number_of_transactions,2_cumulative_return,2_max_drawdown,2_sharpe_ratio,2_annual volatility,2_annualized_return,2_calmar,2_number_of_transactions,3_cumulative_return,3_max_drawdown,3_sharpe_ratio,3_annual volatility,3_annualized_return,3_calmar,3_number_of_transactions,4_cumulative_return,4_max_drawdown,4_sharpe_ratio,4_annual volatility,4_annualized_return,4_calmar,4_number_of_transactions
1.5,6,85,60,1.7896,0.4549,1.5841,0.1765,2.5218,1.4373,75,1.2005,0.4057,0.5896,0.2134,1.3369,0.7251,85,1.4285,0.2755,0.9347,0.2151,1.7626,1.7068,89,0.643,0.4595,-0.8861,0.1776,0.4956,-0.8006,104,0.9849,0.3202,0.0641,0.1319,0.9761,0.0618,90
1.5,6,85,100,1.7421,0.5243,1.5697,0.1688,2.4163,1.1816,80,1.484,0.288,1.0422,0.2025,1.8726,1.7138,88,1.1932,0.3373,0.5814,0.2036,1.3241,0.8204,95,0.6548,0.4847,-0.8763,0.1729,0.5102,-0.7308,109,1.0673,0.3335,0.3247,0.1296,1.1089,0.2951,90
1.5,6,85,120,1.5897,0.5484,1.3799,0.1617,2.0891,0.9515,81,1.3207,0.3797,0.8139,0.1929,1.5559,0.9667,90,1.1832,0.3396,0.5643,0.202,1.3066,0.7851,95,0.639,0.4699,-0.9597,0.1699,0.4908,-0.8115,109,0.9995,0.3104,0.1078,0.1292,0.9992,0.105,95
1.5,6,85,144,1.6928,0.4997,1.5713,0.1583,2.3083,1.1639,80,1.5861,0.4176,1.2374,0.1887,2.0815,1.3071,90,1.2434,0.3299,0.6738,0.1975,1.4137,0.9433,91,0.6186,0.5123,-1.04,0.1701,0.4662,-0.8074,110,1.0499,0.3064,0.2697,0.1254,1.0804,0.2583,95
1.5,6,85,169,1.5071,0.4531,1.2605,0.1578,1.9192,1.0264,83,1.6831,0.4175,1.3677,0.1895,2.2874,1.452,89,1.286,0.3413,0.7545,0.1924,1.4915,0.995,92,0.6888,0.4538,-0.7966,0.1663,0.5529,-0.6825,108,0.9785,0.3441,0.0293,0.1252,0.9661,0.0249,96
1.5,6,85,252,1.788,0.448,1.7791,0.1516,2.5182,1.4081,74,1.2365,0.5949,0.6724,0.1893,1.4012,0.5004,89,1.2682,0.313,0.7265,0.1905,1.4588,1.034,88,0.7544,0.4508,-0.5764,0.1639,0.6389,-0.4902,105,1.1243,0.2176,0.5124,0.1202,1.2045,0.6621,90
1.5,6,85,576,1.6397,0.3619,1.5877,0.1452,2.1943,1.4891,75,1.4517,0.5312,1.0489,0.1845,1.8082,0.8519,83,1.7258,0.1996,1.5056,0.1751,2.3803,3.088,81,0.8059,0.4786,-0.4468,0.1554,0.7097,-0.3392,100,0.9454,0.3655,-0.1304,0.1123,0.9147,-0.0937,86
1.5,6,85,676,1.6354,0.3145,1.5761,0.1456,2.1853,1.7063,73,1.8808,0.4754,1.6983,0.1774,2.7289,1.4821,76,1.5299,0.1981,1.2273,0.1717,1.9655,2.4875,82,0.8177,0.4684,-0.4177,0.1532,0.7263,-0.3195,102,0.8383,0.3951,-0.5725,0.1143,0.7557,-0.3875,85
1.5,6,90,30,1.8241,0.5245,1.5508,0.189,2.5994,1.3067,66,1.2027,0.4982,0.5871,0.2328,1.3409,0.6415,76,1.4931,0.3178,0.9838,0.2333,1.8909,1.6887,75,0.5261,0.6083,-1.2072,0.195,0.3604,-0.9052,95,0.7648,0.4102,-0.6419,0.1474,0.6532,-0.5395,84
1.5,6,90,60,1.8406,0.4967,1.5882,0.1861,2.6369,1.3918,74,1.2051,0.4308,0.5927,0.2253,1.3452,0.7249,85,1.4492,0.2958,0.9393,0.2272,1.8033,1.6872,89,0.6234,0.4808,-0.8851,0.1877,0.4719,-0.8082,104,0.9812,0.3388,0.0662,0.1394,0.9703,0.0637,90
1.5,6,90,100,1.7895,0.5734,1.5735,0.178,2.5214,1.1421,80,1.5104,0.3079,1.0478,0.2138,1.9258,1.7018,88,1.1984,0.3567,0.585,0.2151,1.3333,0.8248,95,0.6357,0.5079,-0.8753,0.1828,0.4868,-0.7366,109,1.0685,0.3513,0.3276,0.1369,1.111,0.2987,90
1.5,6,90,120,1.6243,0.5972,1.3824,0.1705,2.1618,0.923,81,1.3352,0.406,0.8182,0.2036,1.5831,0.9596,90,1.1881,0.3588,0.5681,0.2134,1.3151,0.7903,95,0.6196,0.493,-0.9589,0.1797,0.4673,-0.8173,109,0.9968,0.3266,0.1103,0.1365,0.995,0.1079,95
1.5,6,90,144,1.7363,0.543,1.5747,0.1669,2.4034,1.1318,80,1.622,0.4522,1.2441,0.1992,2.1569,1.2813,90,1.2523,0.3486,0.6776,0.2086,1.4298,0.9483,91,0.5986,0.5379,-1.0397,0.1798,0.4424,-0.8128,110,1.0503,0.3237,0.2726,0.1326,1.081,0.2612,95
1.5,6,90,169,1.5349,0.4885,1.2618,0.1664,1.9758,1.0048,83,1.7282,0.4543,1.3759,0.2001,2.3855,1.4171,89,1.2985,0.3611,0.7589,0.2033,1.5145,0.9991,92,0.6709,0.4769,-0.7958,0.1758,0.5303,-0.686,108,0.9748,0.3631,0.0317,0.1324,0.9603,0.027,96
1.5,6,90,252,1.8401,0.4869,1.7828,0.1599,2.6358,1.3689,74,1.2459,0.6417,0.6771,0.2,1.4183,0.4934,89,1.2797,0.3314,0.7312,0.2013,1.48,1.0382,87,0.7389,0.475,-0.575,0.1733,0.6182,-0.4907,105,1.1299,0.2304,0.517,0.127,1.2141,0.6667,90
1.5,6,90,576,1.6795,0.39,1.5912,0.153,2.2797,1.4599,75,1.4759,0.5759,1.0528,0.1949,1.8564,0.8331,83,1.7751,0.2114,1.5128,0.1849,2.4892,3.0949,81,0.7928,0.5056,-0.445,0.1643,0.6915,-0.3381,100,0.9405,0.3856,-0.1276,0.1186,0.9071,-0.0918,86
1.5,6,90,676,1.6749,0.338,1.5794,0.1535,2.2697,1.6773,73,1.9419,0.5175,1.7038,0.1873,2.8712,1.4421,76,1.5626,0.2096,1.2338,0.1813,2.0328,2.4959,82,0.8053,0.4949,-0.4159,0.162,0.7088,-0.3182,102,0.828,0.415,-0.5709,0.1208,0.741,-0.3887,85
1.5,6,100,30,0.6195,0.8151,-0.6836,0.2234,0.4672,-0.4381,3,-1.1448,2.493,-0.1781,62.3205,-1.2397,-10.4113,3,0.849,0.8652,-0.0093,0.2503,0.771,-0.0063,3,1.8079,0.2527,1.9723,0.1367,2.5627,2.4951,3,0.8198,0.3788,-0.3979,0.1558,0.7293,-0.3829,5
1.5,6,100,60,0.5145,0.7096,-0.9844,0.2316,0.3478,-0.7514,14,0.0379,1.1423,-0.4141,0.9605,0.0055,-0.8142,21,0.4308,1.1442,-0.8352,0.3058,0.2623,-0.5219,27,1.4189,0.5023,0.9646,0.1962,1.7439,0.881,15,0.5202,0.5828,-1.3739,0.1796,0.3542,-0.9906,23
1.5,6,100,100,0.3786,0.8443,-0.8449,0.343,0.2136,-0.8027,24,0.1056,1.1183,-0.9511,0.5932,0.0281,-1.1797,31,0.6684,1.0217,-0.3233,0.275,0.5271,-0.2035,39,1.6788,0.4846,1.2813,0.2082,2.2782,1.2874,27,0.5428,0.5314,-1.1804,0.1899,0.379,-0.987,27
1.5,6,100,120,0.4973,0.6189,-0.9625,0.2449,0.3295,-0.8906,26,0.1129,1.1147,-1.0001,0.568,0.0312,-1.1917,33,0.7166,1.0622,-0.2277,0.2709,0.5888,-0.1358,37,1.7816,0.487,1.3989,0.2092,2.5038,1.4052,29,0.6111,0.545,-0.904,0.1912,0.4575,-0.742,27
